SKIPPED DUPLICATES (Not Abandoned)
================================================================================
Total: 960

1. Duplicate: d056781c-f458-4f79-9bfd-9f2340d980d5 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
2. Duplicate: bcb1a110-af22-4699-903c-72bb8809d4d0 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
3. Duplicate: 436f065f-d5cd-4cad-88d9-2e6580c6530a | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
4. Duplicate: 928588c6-b55f-4308-aa63-f1d2a60b09ba | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
5. Duplicate: 9ab5891d-874c-4559-aa09-a2cf8190af38 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
6. Duplicate: 70d8552e-7c41-4382-b599-c4e8e80a718e | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
7. Duplicate: abf46642-a4b7-419f-90a9-6462b1f694a8 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
8. Duplicate: a1dbd0b7-b070-428d-b432-722f58b99853 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
9. Duplicate: 78d59fe6-46c8-4fea-b105-c971757b9adb | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
10. Duplicate: 589febaf-23a4-490f-8eac-8c2d7f59d684 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
11. Duplicate: d8d3d653-c07c-4aa0-8a92-02381bafd952 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
12. Duplicate: d78b84a0-103d-49bb-a885-bf9c5c93f3a9 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
13. Duplicate: a9cc5f61-d386-4f03-a258-902491e0f231 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
14. Duplicate: ca2f289c-17dd-447a-9609-97714f750917 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
15. Duplicate: 13055b3c-3f81-4339-8f87-810324cda047 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
16. Duplicate: 0045aef2-8b39-4ece-a3a8-75ad82d99256 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
17. Duplicate: 004ca454-82bc-429a-97eb-185321f5eed2 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
18. Duplicate: f91380b2-33d3-4d05-b968-c2a80f764078 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
19. Duplicate: b3dfe063-8e21-4971-a3a0-fdb175219a7a | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
20. Duplicate: 10ff4f9d-91fb-45a7-8151-f554404af34d | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
21. Duplicate: 93b7e4df-4386-4a59-8692-30ee35d0403d | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
22. Duplicate: 59eedf8f-c671-4817-8e9e-be1b41b4ae8c | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
23. Duplicate: 63d89e49-f046-42c1-9ed0-d420117bd587 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
24. Duplicate: 695c72c0-0f02-4968-b5a2-b9973ace9d60 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
25. Duplicate: e3a10cbc-cce9-4b2d-8e1c-01cf3ec1b082 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
26. Duplicate: 6d2514ad-ba3c-4d5c-aaf5-124dfedcd112 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
27. Duplicate: 2c05e53a-c090-4324-b4dd-ec20e2ad6d83 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
28. Duplicate: e594fa83-6014-4a2d-aeaa-efb07e23d789 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
29. Duplicate: dda4bebf-0063-4dff-8a13-3aa398a77dcf | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
30. Duplicate: 6b162cbc-3257-4284-87a6-46d6888035f1 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
31. Duplicate: 2afae837-6b59-4276-addf-a35b373bb03f | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
32. Duplicate: 9e94fa09-fae6-415e-9022-7178abcd1b7e | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
33. Duplicate: c9ce106d-02a6-44fa-b6e8-cf717352ea6b | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
34. Duplicate: b33b4551-5233-4227-8fbc-55ba77577b9a | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
35. Duplicate: 8d871b12-b60e-4c93-bad3-db55c03043e8 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
36. Duplicate: 12dc5822-50a9-4c1a-b03b-75c46c3efb3b | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
37. Duplicate: 3f8c74ac-2ecd-434a-939a-d3dd7b274925 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
38. Duplicate: 1d8005f5-89c1-4d71-a1c3-b3fa404bb85e | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
39. Duplicate: de3a8153-4bc7-4506-9675-a13c056dae9e | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
40. Duplicate: 0fc56ade-f8b2-45c5-891e-7602ac238f0a | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
41. Duplicate: 6794a7c7-061d-457e-a0ee-8830e162eefa | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
42. Duplicate: cca1c116-1b1c-4014-a6ff-534f80fefdff | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
43. Duplicate: 781386e8-e605-47d4-ace0-15de5cf11aeb | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
44. Duplicate: 1d99799b-a9c3-4fc7-ab59-3e804f20701b | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
45. Duplicate: 7585ad45-0090-4241-9748-5cb0e0b21891 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
46. Duplicate: 979a1f0e-99de-4f23-babc-b2b940f51484 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
47. Duplicate: b5489bad-627d-4e09-86ad-174d0b28afcc | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
48. Duplicate: 383a77d1-b77c-4db1-bea8-271131155126 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
49. Duplicate: d8e7aac8-f9b4-4473-8944-dd78ee7ddb43 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
50. Duplicate: 6c29f4ab-9c76-4edb-8489-eb4d404e4008 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
51. Duplicate: e4e06d47-e7cd-4c2c-abeb-3649f86dbbec | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
52. Duplicate: 388e3eff-3349-481c-8861-e2cb3b481500 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
53. Duplicate: be3bd30f-da3f-41b0-b04e-3fbe81a4afd1 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
54. Duplicate: fb24a43e-5ac0-4890-96a6-f7c40234e4df | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
55. Duplicate: 5c521f18-8308-4661-89a1-5d85cc4e7aa0 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
56. Duplicate: 63b2b81e-2a90-4568-99ed-79081479c5f6 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
57. Duplicate: 97798c9b-e84d-4dd3-989e-d5a6a7529be4 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
58. Duplicate: 4483c8c2-37f5-4a35-9ec9-5780710e9087 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
59. Duplicate: 18c6de9c-218f-4265-a199-eec322ba4919 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
60. Duplicate: 441bab75-070e-4998-bcf6-b00c8c91f9d5 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
61. Duplicate: a3c3983a-c60b-4186-aeb4-2bce2fc9ab53 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
62. Duplicate: c4080964-a484-47a4-8494-00e0409f8dce | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
63. Duplicate: b0d5657d-84af-40d1-a3dc-1db0950d2385 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
64. Duplicate: 9bcccee7-9c63-4d6d-8052-50eaf5691582 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
65. Duplicate: 9330369e-af58-4a31-ba33-aa9ac0c093b0 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
66. Duplicate: 0dc7638b-c6df-4890-bfaa-0a8b73220fc8 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
67. Duplicate: ff6c32e2-d1a6-43b6-81c6-ca164b24d78b | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
68. Duplicate: 867ed48c-2c43-4602-9184-7fa5320799df | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
69. Duplicate: 74684824-6fe6-4f68-b5ca-1904255757f4 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
70. Duplicate: 223ee9eb-682a-440a-9819-4641b6e38fe9 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
71. Duplicate: f3ff27ff-9dc5-43ab-9a65-ba9dad1b8d88 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
72. Duplicate: 855b7922-d9ed-49cf-920c-c103beb4454e | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
73. Duplicate: 00554c49-becb-4b0f-ac2d-5a936ae4a4b5 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
74. Duplicate: 4225897f-9709-4386-aafc-82717b88f883 | Original: e784a0ea-4933-4a61-a9a8-936e3bc25185 | Status: Pending_Approval | Mode: CAPI
