Group Number,Original Response ID,Original Status,New Original Response ID,New Original Status,Duplicates Marked,Reason
1,9d85a033-c97f-4a15-a916-0f9801b7bdc7,Rejected,07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
2,4ff73311-a37e-4dec-90be-6e056b553941,Rejected,fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,2,Reordered: Original was Rejected, kept Pending_Approval duplicate
3,ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,0,Normal: Marked duplicates as Rejected
4,1443f87d-2cda-4eed-94d2-ec5ae40912c6,Rejected,f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
5,7f80f584-8e26-40f3-b450-9fefd54c3454,Rejected,d1049750-0148-46ac-9021-0d8a90a179ee,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
6,f3fdcfda-20fe-45a0-857e-e205619efa91,Rejected,cbfa8d98-6eca-4293-a915-4b4c666cb1f9,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
7,0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,0d22de8c-9e57-45e3-89e7-5396ba1f169b,Rejected,0,Normal: Marked duplicates as Rejected
8,127c61fb-541f-4181-ab2e-b7f634626526,Rejected,5b596adc-4d3f-4c04-8319-27ee26500c67,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
9,9c7ecb2d-87d9-455b-8a3d-a4a05dcd14ae,Rejected,61532755-7e11-432a-928c-d0ba9e66075c,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
10,b59b079b-e85f-4933-9a4b-786d22b8a21c,Rejected,f64b18b2-140b-406d-9232-9857578ed989,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
11,73684b83-64aa-4f51-946e-3210a00a9f13,Rejected,d701eb0c-174c-444b-9b67-b72d104dd5d4,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
12,06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,06172de3-12ee-4d4d-a26d-43ebba0e9532,Pending_Approval,3,Normal: Marked duplicates as Rejected
13,2b9be73e-ae0f-4658-b32a-795ba2bc81b0,Rejected,baae68b0-c765-4e8c-8546-01d591874571,Pending_Approval,2,Reordered: Original was Rejected, kept Pending_Approval duplicate
14,1383cd16-35f1-449e-a493-fe3851135fb4,Rejected,ed8afa07-e8ba-49c6-b838-5c17a7ba37aa,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
15,cc45ab6c-cb5d-430d-9d8d-054175cdc3ec,Rejected,32c57620-c5b6-45e0-9ad7-16a10427f2f5,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
16,832a528c-68b3-4be5-bab8-77de681b8d48,Pending_Approval,832a528c-68b3-4be5-bab8-77de681b8d48,Pending_Approval,2,Normal: Marked duplicates as Rejected
17,6927781f-c688-4c4b-8bb0-8dd137331e4d,Rejected,2a24dfe0-9d9e-45dd-9735-8f49b3f62760,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
18,95a3148f-3f16-49da-9745-41aea194bc8d,Rejected,a0d1b9b8-65d9-4f83-b66b-f4ba49037bc1,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
19,f63e6558-b948-43ee-90d5-8452b202220d,Rejected,5a47efde-7a42-4955-a479-920962a53a77,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
20,dc0f4047-ca77-4675-a50b-c486c6cf11ce,Rejected,ec75c051-f702-4443-b9ad-4c31331360f9,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
21,26c0a591-7712-4e1e-8216-c00a93f26084,Pending_Approval,26c0a591-7712-4e1e-8216-c00a93f26084,Pending_Approval,3,Normal: Marked duplicates as Rejected
22,9c39206b-c818-4de5-8ab5-65c568db9959,Rejected,53047c47-361b-4487-881a-d92153499b7a,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
23,500bcd7f-eb44-41a5-8841-842dabfcd7c4,Rejected,99cf8f4f-98ea-4ea9-ae3c-6c1a7f6fbeee,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
24,ab7f6329-c3ff-4dc4-9602-3a977d987b6c,Rejected,59ec96d6-53d8-4e8b-84a4-c835afe23988,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
25,b42f7c93-a4cf-499b-888c-df361605c74e,Pending_Approval,b42f7c93-a4cf-499b-888c-df361605c74e,Pending_Approval,0,Normal: Marked duplicates as Rejected
26,08d0b09a-3f8a-4d0d-adce-edee85210715,Rejected,20231cd2-49a6-4199-8f7b-880436a26e17,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
27,875aa358-10c9-4ea8-a2dc-1d94a271e479,Rejected,875aa358-10c9-4ea8-a2dc-1d94a271e479,Rejected,0,Normal: Marked duplicates as Rejected
28,61be25e1-774a-442e-b6d0-240670e20c56,Pending_Approval,61be25e1-774a-442e-b6d0-240670e20c56,Pending_Approval,1,Normal: Marked duplicates as Rejected
29,e714e207-a5ff-48d8-a640-c3b18a1e0e83,Rejected,efed127a-bda6-483e-bfd8-4e9c4864f95b,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
30,a81cae96-d817-44fe-9622-847006f6f564,Rejected,a81cae96-d817-44fe-9622-847006f6f564,Rejected,0,Normal: Marked duplicates as Rejected
31,acfd6778-0d32-4d74-a27f-3a56a624a5a2,Rejected,c2d41d48-db5f-482d-bcfa-59faf53201cf,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
32,a8f443c6-cb9a-461b-80bf-53562472116e,Pending_Approval,a8f443c6-cb9a-461b-80bf-53562472116e,Pending_Approval,2,Normal: Marked duplicates as Rejected
33,e0ee0d24-98e6-4140-9ebc-3591496ba661,Rejected,09bdd87b-c2f5-4678-ae28-175b7f6369f4,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
34,4882fc66-dd19-497e-b506-adb329c86c4f,Pending_Approval,4882fc66-dd19-497e-b506-adb329c86c4f,Pending_Approval,0,Normal: Marked duplicates as Rejected
35,91bb860a-e6c1-4dc0-8cae-2d27d9443f4c,Rejected,22d0c053-b4d2-4eed-a64a-911a617cb920,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
36,0b40f6ef-8462-4923-bccd-b87fdda00464,Rejected,0b40f6ef-8462-4923-bccd-b87fdda00464,Rejected,0,Normal: Marked duplicates as Rejected
37,89e0e53e-91d6-403a-8bc2-b01714ad4a1a,Rejected,d36bc3d6-a6ac-40a5-a0b4-49c38f3493ca,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
38,b49dd22c-1243-40e6-9309-c87966f3f65a,Rejected,bc939945-3ed2-4e36-a659-80286fe7fa85,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
39,b6064269-8ddf-4d1d-a0d1-538de93cd2a0,Pending_Approval,b6064269-8ddf-4d1d-a0d1-538de93cd2a0,Pending_Approval,1,Normal: Marked duplicates as Rejected
40,084e9e05-53aa-443f-8ca6-52c8f207b316,Rejected,96ad0c7e-859c-4514-833b-42317684fab1,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
41,c528e037-0f66-4dd8-800d-6c9daa1ba9ee,Rejected,e9943a10-becc-4877-9e72-adbdb68544c6,Pending_Approval,1,Reordered: Original was Rejected, kept Pending_Approval duplicate
42,ca98d3e5-a18c-412a-99f5-0e07eeb1e991,Pending_Approval,ca98d3e5-a18c-412a-99f5-0e07eeb1e991,Pending_Approval,2,Normal: Marked duplicates as Rejected
43,087e2dee-8105-480d-9803-6a044bbd2660,Pending_Approval,087e2dee-8105-480d-9803-6a044bbd2660,Pending_Approval,2,Normal: Marked duplicates as Rejected
