Group #,Content Hash,Why Duplicate?,Original Response ID,Original Status,Original Created Date,Original Start Time,Original End Time,Original Duration (seconds),Original # of Questions Answered,Original GPS Location,Original Has Audio,Duplicate Response ID,Duplicate Status (Now Abandoned),Duplicate Created Date,Duplicate Start Time,Duplicate End Time,Duplicate Duration (seconds),Duplicate # of Questions Answered,Duplicate GPS Location,Duplicate Has Audio,Time Difference (minutes),All Fields Match?,Evidence of Duplication
1,087e9562406c94c3,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same digital fingerprint (content hash)",07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,"Jan 3, 2026, 09:52 AM",09:12:47 AM,09:19:47 AM,420,27,N/A,Yes,9d85a033-c97f-4a15-a916-0f9801b7bdc7,Rejected → abandoned,"Jan 2, 2026, 01:47 PM",09:12:47 AM,09:19:47 AM,420,27,N/A,Yes,-1205,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same Audio Status; Same Content Hash (Digital Fingerprint)
1,087e9562406c94c3,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same digital fingerprint (content hash)",07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,"Jan 3, 2026, 09:52 AM",09:12:47 AM,09:19:47 AM,420,27,N/A,Yes,2496acd6-10f2-4caa-a969-344bfb0f7ae0,Rejected → abandoned,"Jan 3, 2026, 04:20 AM",09:12:47 AM,09:19:47 AM,420,27,N/A,No,-333,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same Content Hash (Digital Fingerprint)
1,087e9562406c94c3,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same digital fingerprint (content hash)",07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,"Jan 3, 2026, 09:52 AM",09:12:47 AM,09:19:47 AM,420,27,N/A,Yes,ea86bffc-bb47-4866-9504-77b5b87b5ae0,Rejected → abandoned,"Jan 3, 2026, 12:44 PM",09:12:47 AM,09:19:47 AM,420,27,N/A,Yes,171,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same Audio Status; Same Content Hash (Digital Fingerprint)
1,087e9562406c94c3,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same digital fingerprint (content hash)",07213240-7161-43ee-a66e-3771faec799e,Pending_Approval,"Jan 3, 2026, 09:52 AM",09:12:47 AM,09:19:47 AM,420,27,N/A,Yes,c3272144-3ba4-4547-a08c-c4fcdf65c20c,Rejected → abandoned,"Jan 4, 2026, 09:56 AM",09:12:47 AM,09:19:47 AM,420,27,N/A,Yes,1443,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same Audio Status; Same Content Hash (Digital Fingerprint)
2,bb7b427c35ad4fe2,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,"Jan 3, 2026, 10:45 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",Yes,4ff73311-a37e-4dec-90be-6e056b553941,Rejected → abandoned,"Jan 2, 2026, 11:11 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",No,-1414,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
2,bb7b427c35ad4fe2,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,"Jan 3, 2026, 10:45 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",Yes,9a8a17e5-4915-468b-920c-f807bcb0fa39,Rejected → abandoned,"Jan 3, 2026, 02:51 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",No,-474,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
2,bb7b427c35ad4fe2,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,"Jan 3, 2026, 10:45 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",Yes,e0171503-9c6e-4e4e-a0b5-85bed98572e3,Rejected → abandoned,"Jan 3, 2026, 10:46 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",Yes,1,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
2,bb7b427c35ad4fe2,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",fe7360ff-be02-4792-b38e-267f9a7fe33e,Pending_Approval,"Jan 3, 2026, 10:45 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",Yes,a31ac7d7-081a-4684-84eb-d3403ec7fa7b,Rejected → abandoned,"Jan 4, 2026, 10:00 AM",11:01:29 AM,11:05:45 AM,256,27,"22.8130, 87.0040",Yes,1395,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
3,1b35c0320c8c8ff5,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,"Jan 2, 2026, 01:48 PM",10:06:28 AM,10:10:46 AM,257,27,"24.9345, 88.0582",No,c88e8689-7067-4cd7-b807-75b01856d984,Rejected → abandoned,"Jan 3, 2026, 06:19 AM",10:06:28 AM,10:10:46 AM,257,27,"24.9345, 88.0582",No,991,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Audio Status; Same Content Hash (Digital Fingerprint)
3,1b35c0320c8c8ff5,"All interview data matches exactly: Same interview timing, Same duration, Same answers, Same location, Same digital fingerprint (content hash)",ca25e6cf-1729-45f8-b421-79ac20241f39,Rejected,"Jan 2, 2026, 01:48 PM",10:06:28 AM,10:10:46 AM,257,27,"24.9345, 88.0582",No,0fdd75bc-650c-47cf-b0c8-5f9486405949,Rejected → abandoned,"Jan 3, 2026, 07:09 AM",10:06:28 AM,10:10:46 AM,257,27,"24.9345, 88.0582",Yes,1041,Yes,Same Start Time; Same End Time; Same Duration; Same # of Answers; Same GPS Location; Same Content Hash (Digital Fingerprint)
