Group Number,Content Hash,Original Response ID,Original Status,Original Created At,Duplicate Response ID,Duplicate Status,Duplicate Created At,Action Taken,Reason
1,03df667a93778262,4fc8d5eb-4f3b-4bc4-b92c-bc54cce7c448,Pending_Approval,2026-01-03T10:10:12.346Z,311c9c92-056a-4f39-be63-a2293485c70b,Pending_Approval -> abandoned,2026-01-03T12:04:43.996Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
2,0a97b39e1d722640,148929b7-2098-4b7a-8444-6de8d1af0ef7,Pending_Approval,2025-12-28T07:10:56.638Z,86895f23-969f-4009-bc30-7737caa4fcbc,Pending_Approval -> abandoned,2025-12-28T07:12:02.237Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
3,0cc20fea2ce30f5c,91bb860a-e6c1-4dc0-8cae-2d27d9443f4c,Pending_Approval,2026-01-03T10:08:46.726Z,22d0c053-b4d2-4eed-a64a-911a617cb920,Pending_Approval -> abandoned,2026-01-03T10:17:02.926Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
4,1374bfc6742271f2,c7c357a4-ab7d-4bba-b6a5-e4f5962c5bb3,Pending_Approval,2025-12-28T10:42:29.831Z,8b3690ac-fe06-4710-bb78-e1ef765f71ea,Pending_Approval -> abandoned,2025-12-28T10:43:28.319Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
5,1ad450df45a84229,6238ebba-982f-4aa2-a03d-e9d28580d097,Pending_Approval,2025-12-29T10:24:18.044Z,c507ac47-54c4-463f-9c17-b894c858b49e,Pending_Approval -> abandoned,2025-12-29T10:33:50.262Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
6,1ba26642855d6a74,1443f87d-2cda-4eed-94d2-ec5ae40912c6,Pending_Approval,2026-01-03T06:59:04.251Z,f88f6e1e-da26-4e45-a93c-50d5bbb51fdf,Pending_Approval -> abandoned,2026-01-03T07:08:38.224Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
7,1e6e94f63ac3e132,551187f9-e170-4309-80eb-d6000091dde7,Pending_Approval,2026-01-04T00:20:22.058Z,51cdcf40-3e52-4f75-a421-22560a0fa033,Pending_Approval -> abandoned,2026-01-04T00:25:59.008Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
8,200e288b17417e7e,4f2303c0-1481-429d-a0f0-32984c239825,Pending_Approval,2025-12-28T15:03:54.481Z,c1edbe2e-acd2-4b07-9d76-2f52996b5488,Pending_Approval -> abandoned,2025-12-29T10:02:18.849Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
9,23f227e20baab4be,8e405769-7d4b-48b2-b1b9-7cbcc676c9bd,Pending_Approval,2026-01-03T12:46:15.707Z,b2ff55b3-5bfc-4318-b35c-f715056915f3,Pending_Approval -> abandoned,2026-01-03T13:11:35.548Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
10,25b2f76c5c3c999f,1ef5a3aa-d13f-4793-9242-e509917de8b0,Pending_Approval,2025-12-29T06:05:32.946Z,e33a3ba6-3662-4674-862b-2ef18f74ca0c,Pending_Approval -> abandoned,2025-12-29T06:10:48.596Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
11,2d4b2b777cc1ef85,3f25fb84-f5e6-49c4-97e5-1aa913b2a870,Pending_Approval,2026-01-03T12:37:01.528Z,00a36f06-8fa9-4223-bd17-cb63f5c9bf18,Pending_Approval -> abandoned,2026-01-03T15:26:41.259Z,Marked as Abandoned,Abandoned due to Duplicate Response on 4th Jan
