Response ID,Mongo ID,Status,Old Feedback,New Feedback,Metadata AutoRejection Reason,Update Status,Error
523b4263-3703-4283-aa5a-da10797007e5,69595d30dd25b0a8280a4c6c,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
3b31488d-6f33-4c85-b54d-387eadf72a63,69595b86a7e6b73b04042252,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
62880cf1-d4a8-4761-9598-7ed07175c216,695959b1670b95ced9e1dd09,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
466cf5ea-9102-4d74-b30d-4958d45c2388,69595979e56a1829b2c28b4f,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
f5e769c3-ea99-46ff-b652-e9b8fb49ddbb,69595940bd193bd2d66a2a87,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
be2dfdf2-5da3-46aa-9ef3-c8e4f00e6b02,6959488e11ba1a283b7ebf33,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
34001bb4-6a6e-4b1c-bf67-cb35396d1297,695941a0520356503c1b0ac6,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
deac79e9-282d-45a1-8923-30e9c3aab801,695940e40f676d5b9632e7d4,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
7f197016-ad1c-4577-a0d8-c238f1610dfc,695940c45df15f0f4806ab86,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
8228f247-37e8-4e16-b5db-a210c2a7bb94,6959362243040c379e034679,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
d5ad7a4e-c954-41a6-aa59-fc58b035e301,69593532f70fc141652d4372,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
afd73f2d-28a9-4793-bf61-07edb72ba69a,6959307bd7f88da699094366,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
69132065-f82f-4412-9956-d722ee0ccc3b,69592a8ed511b2389f6e083f,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
f5a78dc7-1635-45b6-abc7-6894cb0284d7,69592a5f42ad86414ded2caf,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
d8165593-3aca-4511-936a-357bc8f8db10,695929c4835dd5c7642376b6,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
8779db8e-9e32-46f9-b10b-87f6bfa50192,695929628ff36e784b7a82f2,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
8e529f99-7996-43d1-a6ba-c583d7b969eb,695927ea1389eb256143b5c8,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
0e51e753-69ab-498c-a7b5-06c0b8702c3a,695927177a6783be0b9f7671,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
cf6ee7e5-8898-46bb-90f2-fdb8c7ef131f,695926499a02404748b1f11c,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
b31e91a1-e3ea-48a9-a81f-f70be3d11dfd,695926369bbe1923195ebee4,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
13f8210e-6ddb-4609-9ea0-6346f3d3665d,6959258b8e526bb1fd63ae85,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
202c7ce9-6ce7-45a1-9417-483ff9c4e6bb,695923668ee7409e3ca8df1a,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
11d09800-1f36-4632-8e24-d04387bc5d21,6959210e4c0d948330791c31,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
26644683-ff17-473b-9c67-043d0672edbe,69592089c487fc2ab3f5b06d,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
1acb22ad-8e74-4485-a2fe-0ed623cdafaa,69591f7203d0749a6b1340b6,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
24e20b47-35ef-4050-8305-d2e31726e41c,69591f35fb105c420cd66b16,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
7ca6256e-0ffb-4668-9856-180365e5b43a,69591d447bbbe27b1cb982d7,updated,(empty),Duplicate Phone Number,Duplicate Phone Number,updated,
