Group Number,Original Response ID,Original Content Hash,Original Status,Total Duplicates,Excluded (Abandoned/Terminated),Valid Duplicates,Same Content Hash Count,Different Content Hash Count,Duplicate Response ID,Duplicate Status,Duplicate Content Hash,Mismatch Reason
300,3e05789f-9375-4148-a57c-e3c67267350f,d101c4e95ae8208c,abandoned,246,244,2,0,2,358ddc23-3948-463d-941b-6dcf58c72423,Pending_Approval,c613146021ffed9a,"Different interviewer ObjectId"
300,3e05789f-9375-4148-a57c-e3c67267350f,d101c4e95ae8208c,abandoned,246,244,2,0,2,f2e27d2c-ca4c-42bb-9440-0ff309ddf76a,Pending_Approval,8ec36a61e4463f4f,"Different interviewer ObjectId"
365,49f654dd-d27e-4687-bd0a-f37eb0fec9ce,97c0aa47994e456a,abandoned,204,202,2,1,1,06c0bc5b-e551-4732-805c-5ad3c5d4f620,Pending_Approval,97c0aa47994e456a,SAME - Detected by system
365,49f654dd-d27e-4687-bd0a-f37eb0fec9ce,97c0aa47994e456a,abandoned,204,202,2,1,1,28c78750-6465-48da-bac3-cd02267909a7,Pending_Approval,49cfb522c5cb6a27,"Different interviewer ObjectId"
623,3bd07443-79f4-44bb-a8bd-7eb75bab22bf,d98a69143672f5a1,abandoned,172,169,3,1,2,8586ddb1-ddd8-4193-b2e7-0ef7d52eeb23,Pending_Approval,d98a69143672f5a1,SAME - Detected by system
623,3bd07443-79f4-44bb-a8bd-7eb75bab22bf,d98a69143672f5a1,abandoned,172,169,3,1,2,da2984cf-fca8-4e7f-8e1b-d9a08a5bf176,Pending_Approval,d54bd76c99a7e97f,"Different interviewer ObjectId"
623,3bd07443-79f4-44bb-a8bd-7eb75bab22bf,d98a69143672f5a1,abandoned,172,169,3,1,2,ebbe33d2-c8c0-422a-8ce4-aae9a507141a,Pending_Approval,a82ecb8429b7cd08,"Different interviewer ObjectId"
287,e64db953-f4ea-4d03-8f05-7ad58e764409,db0edab8a5e10514,abandoned,162,160,2,1,1,85b6cfd2-62af-431f-af63-37607dcfba46,Pending_Approval,db0edab8a5e10514,SAME - Detected by system
287,e64db953-f4ea-4d03-8f05-7ad58e764409,db0edab8a5e10514,abandoned,162,160,2,1,1,a1ca1576-04ea-42f4-bb90-be31b35e9287,Pending_Approval,262dffda1d94317b,"Different interviewer ObjectId"
304,4a8635b1-8810-4025-b128-f68266c3bcd3,9853d151d3cb9201,abandoned,152,150,2,0,2,521123cb-3b42-4caa-b0ab-282e11974492,Pending_Approval,2986412120cff6e4,"Different interviewer ObjectId"
304,4a8635b1-8810-4025-b128-f68266c3bcd3,9853d151d3cb9201,abandoned,152,150,2,0,2,fdac365c-fb1f-4e81-8004-45a7fa5b846a,Pending_Approval,7d6c5d4343c751d0,"Different interviewer ObjectId"
847,64caacfc-6757-4fa8-b096-98843e9070bc,570661bb7f5557dd,abandoned,124,121,3,1,2,f8e2bcc9-c12c-4d47-b639-84bb0114a951,Pending_Approval,570661bb7f5557dd,SAME - Detected by system
847,64caacfc-6757-4fa8-b096-98843e9070bc,570661bb7f5557dd,abandoned,124,121,3,1,2,daeed2b1-6a5c-47f3-8973-0587270ceff5,Pending_Approval,bfaa5d7f345e9f02,"Different interviewer ObjectId"
847,64caacfc-6757-4fa8-b096-98843e9070bc,570661bb7f5557dd,abandoned,124,121,3,1,2,58f19de7-f65e-47a8-b1f2-fd5080b0bd3d,Pending_Approval,9a4d6126ce838ccf,"Different interviewer ObjectId"
762,70db6fb1-2d3e-4709-b34a-e763806c183e,d38326cef6e4abae,abandoned,114,112,2,1,1,56a6b09b-3aa3-416d-b394-758466599f8c,Pending_Approval,d38326cef6e4abae,SAME - Detected by system
762,70db6fb1-2d3e-4709-b34a-e763806c183e,d38326cef6e4abae,abandoned,114,112,2,1,1,be7bf61d-f06e-487f-bb39-dfce77cd2e14,Pending_Approval,749264aa2a9fa533,"Different interviewer ObjectId"
1304,cf359da3-a766-4808-b925-f16f18153987,264fa89bf863db87,Pending_Approval,111,108,3,0,3,68d5defc-3072-4701-ae91-ac6e5483be6d,Pending_Approval,c6a5228a7cf257f9,"Different interviewer ObjectId"
1304,cf359da3-a766-4808-b925-f16f18153987,264fa89bf863db87,Pending_Approval,111,108,3,0,3,e1565328-8f3b-471c-b6a6-4ee16323ee68,Pending_Approval,9f843a4bf89b687b,"Different interviewer ObjectId"
1304,cf359da3-a766-4808-b925-f16f18153987,264fa89bf863db87,Pending_Approval,111,108,3,0,3,f684cedc-1f7d-40ed-b09e-94561fe713bf,Pending_Approval,3f0db4dcb34232ba,"Different interviewer ObjectId"
298,14fbf514-81f8-4feb-b018-ffa732b35d3e,a27b8173569ad24e,abandoned,110,108,2,1,1,c7617c3e-bf46-4f80-bc0c-42f6d9b59a28,Pending_Approval,a27b8173569ad24e,SAME - Detected by system
298,14fbf514-81f8-4feb-b018-ffa732b35d3e,a27b8173569ad24e,abandoned,110,108,2,1,1,d187db4e-ed98-434d-a8fa-3b9d2f17c50a,Pending_Approval,6d08e425a6fbed5f,"Different interviewer ObjectId"
458,367e81af-d3ef-4671-877a-8c20cfa50786,6dc45bf8e4a1a71a,abandoned,101,100,1,0,1,06d7b306-5525-45f4-afee-f52b2e9c8bbb,Pending_Approval,ca29458526fea760,"Different interviewer ObjectId"
932,dba34d6d-3383-462e-ac95-395577772348,bc90255807e02e63,abandoned,100,98,2,1,1,0d324621-bdd4-413a-8291-e18ca2a51c7d,Pending_Approval,bc90255807e02e63,SAME - Detected by system
932,dba34d6d-3383-462e-ac95-395577772348,bc90255807e02e63,abandoned,100,98,2,1,1,73e4b4b7-8871-4397-bfdd-df68ca42c92a,Pending_Approval,64ebbb8267ea71c0,"Different interviewer ObjectId"
1179,e63cab88-56e8-484b-bb0d-c5002b085d77,ea0b80cc699b9da7,Pending_Approval,99,98,1,0,1,9afbbbb3-5d4b-4064-9527-cac62065ba38,Rejected,7d61425b4d0f9ffb,"Different interviewer ObjectId"
355,298303b8-4019-47f6-a71b-9ef9d761d048,ba545a3e8dd524a2,abandoned,78,77,1,0,1,6d56649b-e0af-4ddc-9b33-103306011f3f,Pending_Approval,b37309c47ddc6d85,"Different interviewer ObjectId"
701,643889d0-22ee-47da-a81f-e34b606cb2c5,1e1aecd4471f1055,abandoned,68,65,3,0,3,23cccc79-bd3e-4c11-8ff4-69b15ea14115,Pending_Approval,7be2c9584f9a7dbd,"Different interviewer ObjectId"
701,643889d0-22ee-47da-a81f-e34b606cb2c5,1e1aecd4471f1055,abandoned,68,65,3,0,3,3d03210f-9d63-4eee-9ba9-c8637c7375af,Pending_Approval,04ba601d611b8825,"Different interviewer ObjectId"
701,643889d0-22ee-47da-a81f-e34b606cb2c5,1e1aecd4471f1055,abandoned,68,65,3,0,3,a809aff0-bfbe-49ca-a21c-a3d6c55a1842,Pending_Approval,40ea005ca563f7c5,"Different interviewer ObjectId"
